ProjectID,Vendor,BusinessUnit,Category,PlannedDays,ActualDays,Budget,ActualSpend,ScheduleVariancePct,BudgetVariancePct,ScheduleZscore,BudgetZscore,RiskTier,OTIF
PRJ-1241,Vendor C,BU-1,Software,84,118,78268,100072,40.48,27.86,1.45,1.58,Medium,Delayed
PRJ-1242,Vendor A,BU-2,Components,82,105,21560,21980,28.05,1.95,0.72,0.28,Low,Delayed
PRJ-1243,Vendor D,BU-2,Software,97,114,32451,19712,17.53,-39.26,0.1,3.23,High,On-Time
PRJ-1244,Vendor A,BU-1,Hardware,46,44,63502,66122,-4.35,4.13,1.19,0.12,Medium,On-Time
PRJ-1245,Vendor A,BU-3,Components,101,119,48497,46508,17.82,-4.1,0.11,0.71,Low,On-Time
PRJ-1246,Vendor A,BU-1,Services,77,67,45442,52373,-12.99,15.25,1.7,0.67,Medium,On-Time
PRJ-1247,Vendor C,BU-1,Software,53,76,61052,70634,43.4,15.69,1.62,0.71,Medium,Delayed
PRJ-1248,Vendor A,BU-3,Services,100,105,48356,44368,5.0,-8.25,0.64,1.01,Medium,On-Time
PRJ-1249,Vendor A,BU-3,Services,101,90,54403,46532,-10.89,-14.47,1.58,1.45,Medium,On-Time
PRJ-1250,Vendor B,BU-4,Software,77,81,43598,42196,5.19,-3.22,0.63,0.65,Low,On-Time
PRJ-1251,Vendor A,BU-4,Software,74,79,56432,58768,6.76,4.14,0.54,0.12,Low,On-Time
PRJ-1252,Vendor A,BU-3,Software,88,81,31004,30094,-7.95,-2.94,1.4,0.63,Medium,On-Time
PRJ-1253,Vendor D,BU-4,Hardware,54,49,59287,72538,-9.26,22.35,1.48,1.18,Medium,On-Time
PRJ-1254,Vendor A,BU-3,Hardware,80,82,40572,42772,2.5,5.42,0.79,0.03,Low,On-Time
PRJ-1255,Vendor A,BU-1,Components,91,112,54846,52487,23.08,-4.3,0.42,0.73,Low,Delayed
PRJ-1256,Vendor D,BU-4,Components,94,106,49084,47858,12.77,-2.5,0.18,0.6,Low,On-Time
PRJ-1257,Vendor D,BU-3,Software,94,94,43604,51526,0.0,18.17,0.94,0.88,Low,On-Time
PRJ-1258,Vendor C,BU-4,Components,62,83,55438,72258,33.87,30.34,1.06,1.75,Medium,Delayed
PRJ-1259,Vendor C,BU-4,Components,91,129,57270,63346,41.76,10.61,1.52,0.34,Medium,Delayed
PRJ-1260,Vendor C,BU-2,Services,86,129,41802,46747,50.0,11.83,2.01,0.43,High,Delayed
PRJ-1261,Vendor D,BU-3,Components,120,119,50363,59942,-0.83,19.02,0.98,0.94,Low,On-Time
PRJ-1262,Vendor D,BU-2,Services,107,150,32164,32495,40.19,1.03,1.43,0.34,Medium,Delayed
PRJ-1263,Vendor A,BU-3,Software,98,105,52915,50090,7.14,-5.34,0.51,0.8,Low,On-Time
PRJ-1264,Vendor A,BU-4,Hardware,117,129,45445,34759,10.26,-23.51,0.33,2.1,High,On-Time
PRJ-1265,Vendor D,BU-2,Components,109,135,35010,34236,23.85,-2.21,0.47,0.58,Low,Delayed
PRJ-1266,Vendor C,BU-4,Components,81,101,40059,37121,24.69,-7.33,0.52,0.94,Low,Delayed
PRJ-1267,Vendor C,BU-3,Software,104,127,56055,66023,22.12,17.78,0.37,0.86,Low,Delayed
PRJ-1268,Vendor C,BU-1,Hardware,107,120,43968,54503,12.15,23.96,0.22,1.3,Medium,On-Time
PRJ-1269,Vendor D,BU-2,Software,91,136,34995,33356,49.45,-4.68,1.98,0.75,Medium,Delayed
PRJ-1270,Vendor A,BU-2,Hardware,100,125,31818,35352,25.0,11.11,0.54,0.38,Low,Delayed
PRJ-1271,Vendor D,BU-3,Software,88,85,66606,69334,-3.41,4.1,1.14,0.12,Medium,On-Time
PRJ-1272,Vendor B,BU-2,Services,87,93,46672,50180,6.9,7.52,0.53,0.12,Low,On-Time
PRJ-1273,Vendor D,BU-2,Services,101,132,35968,43196,30.69,20.1,0.87,1.02,Medium,Delayed
PRJ-1274,Vendor D,BU-2,Services,95,110,36339,38615,15.79,6.26,0.01,0.03,Low,On-Time
PRJ-1275,Vendor A,BU-1,Software,101,83,34194,28171,-17.82,-17.61,1.99,1.68,Medium,On-Time
PRJ-1276,Vendor C,BU-1,Services,96,130,63537,76045,35.42,19.69,1.15,0.99,Medium,Delayed
PRJ-1277,Vendor A,BU-1,Components,91,106,36089,36559,16.48,1.3,0.04,0.32,Low,On-Time
PRJ-1278,Vendor A,BU-4,Hardware,99,138,22849,18952,39.39,-17.06,1.38,1.64,Medium,Delayed
PRJ-1279,Vendor B,BU-4,Software,87,107,74184,82984,22.99,11.86,0.42,0.43,Low,Delayed
PRJ-1280,Vendor C,BU-3,Components,75,95,46151,42444,26.67,-8.03,0.64,0.99,Low,Delayed
PRJ-1281,Vendor C,BU-4,Software,90,138,40660,48951,53.33,20.39,2.21,1.04,High,Delayed
PRJ-1282,Vendor A,BU-2,Software,86,76,56780,49444,-11.63,-12.92,1.62,1.34,Medium,On-Time
PRJ-1283,Vendor A,BU-1,Software,85,77,54787,60393,-9.41,10.23,1.49,0.31,Medium,On-Time
PRJ-1284,Vendor B,BU-2,Services,78,91,36706,39150,16.67,6.66,0.05,0.06,Low,On-Time
PRJ-1285,Vendor B,BU-3,Services,118,125,39373,32985,5.93,-16.22,0.59,1.58,Medium,On-Time
PRJ-1286,Vendor B,BU-2,Services,101,140,63818,63020,38.61,-1.25,1.34,0.51,Medium,Delayed
PRJ-1287,Vendor D,BU-4,Components,82,94,74183,82376,14.63,11.04,0.07,0.37,Low,On-Time
PRJ-1288,Vendor A,BU-2,Software,76,85,72820,68908,11.84,-5.37,0.24,0.8,Low,On-Time
PRJ-1289,Vendor A,BU-1,Components,92,99,33644,40025,7.61,18.97,0.49,0.94,Low,On-Time
PRJ-1290,Vendor C,BU-1,Software,93,125,55723,68936,34.41,23.71,1.09,1.28,Medium,Delayed
PRJ-1291,Vendor A,BU-4,Components,72,78,49501,47470,8.33,-4.1,0.44,0.71,Low,On-Time
PRJ-1292,Vendor A,BU-2,Software,60,79,62831,68011,31.67,8.24,0.93,0.17,Low,Delayed
PRJ-1293,Vendor D,BU-3,Software,72,90,65008,64905,25.0,-0.16,0.54,0.43,Low,Delayed
PRJ-1294,Vendor B,BU-4,Hardware,62,60,22465,28995,-3.23,29.07,1.13,1.66,Medium,On-Time
PRJ-1295,Vendor C,BU-3,Hardware,73,88,33414,38353,20.55,14.78,0.27,0.64,Low,Delayed
PRJ-1296,Vendor D,BU-2,Components,90,109,28809,36316,21.11,26.06,0.31,1.45,Medium,Delayed
PRJ-1297,Vendor A,BU-2,Components,104,141,31484,27891,35.58,-11.41,1.16,1.23,Medium,Delayed
PRJ-1298,Vendor D,BU-2,Hardware,89,96,50082,50207,7.87,0.25,0.47,0.4,Low,On-Time
PRJ-1299,Vendor D,BU-2,Components,88,104,46118,56417,18.18,22.33,0.14,1.18,Medium,On-Time
PRJ-1300,Vendor A,BU-4,Components,88,96,53593,57040,9.09,6.43,0.4,0.04,Low,On-Time
PRJ-1301,Vendor D,BU-4,Components,88,105,26436,22123,19.32,-16.31,0.2,1.59,Medium,On-Time
PRJ-1302,Vendor B,BU-1,Software,113,121,46712,54251,7.08,16.14,0.52,0.74,Low,On-Time
PRJ-1303,Vendor B,BU-2,Components,87,99,20310,24658,13.79,21.41,0.12,1.12,Medium,On-Time
PRJ-1304,Vendor C,BU-1,Software,86,135,54377,68662,56.98,26.27,2.42,1.46,High,Delayed
PRJ-1305,Vendor C,BU-3,Components,83,104,89665,98289,25.3,9.62,0.55,0.27,Low,Delayed
PRJ-1306,Vendor A,BU-4,Services,93,120,44573,45082,29.03,1.14,0.77,0.34,Low,Delayed
PRJ-1307,Vendor C,BU-2,Services,95,136,66890,78673,43.16,17.62,1.61,0.84,Medium,Delayed
PRJ-1308,Vendor C,BU-2,Components,99,133,53607,51157,34.34,-4.57,1.09,0.74,Medium,Delayed
PRJ-1309,Vendor B,BU-3,Services,89,98,57816,62776,10.11,8.58,0.34,0.2,Low,On-Time
PRJ-1310,Vendor C,BU-4,Components,107,137,47971,61623,28.04,28.46,0.72,1.62,Medium,Delayed
PRJ-1311,Vendor B,BU-3,Services,89,90,66861,73604,1.12,10.09,0.87,0.3,Low,On-Time
PRJ-1312,Vendor C,BU-1,Components,107,127,36584,39749,18.69,8.65,0.17,0.2,Low,On-Time
PRJ-1313,Vendor D,BU-1,Services,104,118,60876,66500,13.46,9.24,0.14,0.24,Low,On-Time
PRJ-1314,Vendor C,BU-1,Hardware,100,139,58767,71593,39.0,21.83,1.36,1.15,Medium,Delayed
PRJ-1315,Vendor C,BU-1,Software,87,99,39872,46326,13.79,16.19,0.12,0.74,Low,On-Time
PRJ-1316,Vendor B,BU-1,Hardware,90,101,43050,43244,12.22,0.45,0.22,0.39,Low,On-Time
PRJ-1317,Vendor B,BU-4,Hardware,65,62,38462,34916,-4.62,-9.22,1.21,1.08,Medium,On-Time
PRJ-1318,Vendor D,BU-4,Software,85,103,26888,27569,21.18,2.53,0.31,0.24,Low,Delayed
PRJ-1319,Vendor C,BU-4,Software,110,128,5000,6819,16.36,36.38,0.03,2.19,High,On-Time
PRJ-1320,Vendor C,BU-3,Components,73,102,62650,76724,39.73,22.46,1.4,1.19,Medium,Delayed
PRJ-1321,Vendor D,BU-3,Software,95,98,49616,43251,3.16,-12.83,0.75,1.34,Medium,On-Time
PRJ-1322,Vendor A,BU-1,Software,80,81,64326,57875,1.25,-10.03,0.86,1.14,Medium,On-Time
PRJ-1323,Vendor A,BU-4,Components,102,98,40128,37806,-3.92,-5.79,1.17,0.83,Medium,On-Time
PRJ-1324,Vendor B,BU-2,Hardware,105,118,47606,53759,12.38,12.92,0.21,0.51,Low,On-Time
PRJ-1325,Vendor D,BU-2,Services,93,108,13417,13416,16.13,-0.01,0.01,0.42,Low,On-Time
PRJ-1326,Vendor C,BU-3,Components,97,113,52872,62730,16.49,18.65,0.04,0.92,Low,On-Time
PRJ-1327,Vendor C,BU-4,Hardware,80,101,59236,75917,26.25,28.16,0.61,1.6,Medium,Delayed
PRJ-1328,Vendor A,BU-2,Services,47,55,28377,26762,17.02,-5.69,0.07,0.83,Low,On-Time
PRJ-1329,Vendor B,BU-2,Components,83,117,54901,58050,40.96,5.74,1.48,0.01,Medium,Delayed
PRJ-1330,Vendor A,BU-3,Software,85,92,64564,71283,8.24,10.41,0.45,0.33,Low,On-Time
PRJ-1331,Vendor A,BU-1,Hardware,76,91,32158,39728,19.74,23.54,0.23,1.27,Medium,On-Time
PRJ-1332,Vendor C,BU-1,Services,76,78,23842,28728,2.63,20.49,0.78,1.05,Medium,On-Time
PRJ-1333,Vendor D,BU-1,Components,86,80,11564,11187,-6.98,-3.26,1.35,0.65,Medium,On-Time
PRJ-1334,Vendor B,BU-3,Components,98,104,80268,83757,6.12,4.35,0.58,0.11,Low,On-Time
PRJ-1335,Vendor B,BU-4,Hardware,96,106,60092,64853,10.42,7.92,0.32,0.15,Low,On-Time
PRJ-1336,Vendor A,BU-2,Components,104,113,17576,18502,8.65,5.27,0.43,0.04,Low,On-Time
PRJ-1337,Vendor B,BU-1,Components,92,97,52600,55397,5.43,5.32,0.62,0.04,Low,On-Time
PRJ-1338,Vendor C,BU-2,Components,84,118,38852,41860,40.48,7.74,1.45,0.14,Medium,Delayed
PRJ-1339,Vendor B,BU-3,Software,90,99,31097,28948,10.0,-6.91,0.35,0.91,Low,On-Time
PRJ-1340,Vendor A,BU-1,Software,95,113,54885,51939,18.95,-5.37,0.18,0.8,Low,On-Time
PRJ-1341,Vendor C,BU-2,Hardware,77,95,46489,57188,23.38,23.01,0.44,1.23,Medium,Delayed
PRJ-1342,Vendor B,BU-4,Hardware,73,78,50567,55006,6.85,8.78,0.53,0.21,Low,On-Time
PRJ-1343,Vendor A,BU-3,Hardware,87,86,47294,53212,-1.15,12.51,1.0,0.48,Low,On-Time
PRJ-1344,Vendor B,BU-2,Components,86,89,56717,60273,3.49,6.27,0.73,0.03,Low,On-Time
PRJ-1345,Vendor A,BU-4,Components,66,76,80364,71940,15.15,-10.48,0.04,1.17,Medium,On-Time
PRJ-1346,Vendor A,BU-3,Services,98,94,50400,52252,-4.08,3.67,1.18,0.16,Medium,On-Time
PRJ-1347,Vendor D,BU-4,Components,117,130,60796,57369,11.11,-5.64,0.28,0.82,Low,On-Time
PRJ-1348,Vendor C,BU-1,Software,89,129,59277,68909,44.94,16.25,1.71,0.75,Medium,Delayed
PRJ-1349,Vendor A,BU-3,Components,103,101,42949,43419,-1.94,1.09,1.05,0.34,Medium,On-Time
PRJ-1350,Vendor B,BU-1,Software,78,85,38630,31957,8.97,-17.27,0.41,1.65,Medium,On-Time
PRJ-1351,Vendor D,BU-4,Components,80,106,71294,71856,32.5,0.79,0.98,0.36,Low,Delayed
PRJ-1352,Vendor D,BU-4,Software,107,114,56097,51003,6.54,-9.08,0.55,1.07,Medium,On-Time
PRJ-1353,Vendor B,BU-3,Components,90,84,43894,48642,-6.67,10.82,1.33,0.36,Medium,On-Time
PRJ-1354,Vendor D,BU-3,Software,98,139,37923,44608,41.84,17.63,1.53,0.84,Medium,Delayed
PRJ-1355,Vendor B,BU-4,Services,87,106,48086,57084,21.84,18.71,0.35,0.92,Low,Delayed
PRJ-1356,Vendor B,BU-1,Software,81,72,44506,48060,-11.11,7.99,1.59,0.15,Medium,On-Time
PRJ-1357,Vendor A,BU-1,Services,50,53,56551,57441,6.0,1.57,0.58,0.31,Low,On-Time
PRJ-1358,Vendor B,BU-3,Hardware,75,85,51642,58453,13.33,13.19,0.15,0.53,Low,On-Time
PRJ-1359,Vendor A,BU-2,Components,95,105,39864,39237,10.53,-1.57,0.32,0.53,Low,On-Time
PRJ-1360,Vendor D,BU-1,Components,74,70,68260,75775,-5.41,11.01,1.25,0.37,Medium,On-Time
PRJ-1361,Vendor D,BU-2,Components,107,121,43033,47494,13.08,10.37,0.17,0.32,Low,On-Time
PRJ-1362,Vendor B,BU-4,Hardware,111,101,41023,43396,-9.01,5.78,1.47,0.0,Medium,On-Time
PRJ-1363,Vendor B,BU-3,Components,96,119,59756,54033,23.96,-9.58,0.48,1.1,Medium,Delayed
PRJ-1364,Vendor A,BU-3,Hardware,90,82,15362,15840,-8.89,3.11,1.46,0.2,Medium,On-Time
PRJ-1365,Vendor D,BU-4,Hardware,85,117,53451,58612,37.65,9.66,1.28,0.27,Medium,Delayed
PRJ-1366,Vendor C,BU-4,Components,81,112,30513,29894,38.27,-2.03,1.32,0.56,Medium,Delayed
PRJ-1367,Vendor D,BU-4,Hardware,96,128,49916,55755,33.33,11.7,1.03,0.42,Medium,Delayed
PRJ-1368,Vendor B,BU-1,Hardware,79,100,49095,52841,26.58,7.63,0.63,0.13,Low,Delayed
PRJ-1369,Vendor A,BU-3,Hardware,97,101,50105,45801,4.12,-8.59,0.69,1.03,Medium,On-Time
PRJ-1370,Vendor C,BU-4,Components,93,138,35054,39964,48.39,14.01,1.91,0.59,Medium,Delayed
PRJ-1371,Vendor D,BU-1,Components,100,103,65899,72278,3.0,9.68,0.76,0.28,Low,On-Time
PRJ-1372,Vendor A,BU-3,Software,91,86,34962,28753,-5.49,-17.76,1.26,1.69,Medium,On-Time
PRJ-1373,Vendor B,BU-3,Components,80,104,41962,34684,30.0,-17.34,0.83,1.66,Medium,Delayed
PRJ-1374,Vendor C,BU-2,Components,98,139,70808,89286,41.84,26.1,1.53,1.45,Medium,Delayed
PRJ-1375,Vendor C,BU-1,Software,83,106,35543,37154,27.71,4.53,0.7,0.09,Low,Delayed
PRJ-1376,Vendor B,BU-4,Components,70,78,72703,71817,11.43,-1.22,0.26,0.51,Low,On-Time
PRJ-1377,Vendor C,BU-2,Components,67,88,48748,50274,31.34,3.13,0.91,0.19,Low,Delayed
PRJ-1378,Vendor A,BU-2,Hardware,91,111,48749,48702,21.98,-0.1,0.36,0.42,Low,Delayed
PRJ-1379,Vendor A,BU-3,Software,70,82,62170,55185,17.14,-11.24,0.07,1.22,Medium,On-Time
PRJ-1380,Vendor C,BU-3,Components,99,107,46776,56579,8.08,20.96,0.46,1.08,Medium,On-Time
PRJ-1381,Vendor C,BU-3,Hardware,86,109,27033,34470,26.74,27.51,0.64,1.55,Medium,Delayed
PRJ-1382,Vendor B,BU-4,Components,84,97,37034,37440,15.48,1.1,0.02,0.34,Low,On-Time
PRJ-1383,Vendor C,BU-4,Software,83,89,76243,96874,7.23,27.06,0.51,1.52,Medium,On-Time
PRJ-1384,Vendor C,BU-1,Hardware,95,125,39520,42281,31.58,6.99,0.92,0.08,Low,Delayed
PRJ-1385,Vendor A,BU-1,Software,100,119,41299,41670,19.0,0.9,0.18,0.35,Low,On-Time
PRJ-1386,Vendor D,BU-4,Hardware,68,79,71255,78224,16.18,9.78,0.02,0.28,Low,On-Time
PRJ-1387,Vendor C,BU-3,Components,100,124,66094,89810,24.0,35.88,0.48,2.15,High,Delayed
PRJ-1388,Vendor A,BU-2,Services,106,132,82120,76724,24.53,-6.57,0.51,0.89,Low,Delayed
PRJ-1389,Vendor A,BU-3,Software,119,114,41756,45218,-4.2,8.29,1.18,0.18,Medium,On-Time
PRJ-1390,Vendor B,BU-1,Components,79,82,61897,63671,3.8,2.87,0.71,0.21,Low,On-Time
PRJ-1391,Vendor A,BU-4,Software,71,85,45815,43499,19.72,-5.06,0.23,0.78,Low,On-Time
PRJ-1392,Vendor A,BU-1,Hardware,92,95,39584,40442,3.26,2.17,0.74,0.26,Low,On-Time
PRJ-1393,Vendor A,BU-2,Components,134,172,29733,22526,28.36,-24.24,0.74,2.15,High,Delayed
PRJ-1394,Vendor D,BU-4,Components,72,65,60614,63689,-9.72,5.07,1.51,0.05,Medium,On-Time
PRJ-1395,Vendor D,BU-1,Components,92,135,55512,56719,46.74,2.17,1.82,0.26,Medium,Delayed
PRJ-1396,Vendor C,BU-4,Services,84,129,33454,41270,53.57,23.36,2.22,1.25,High,Delayed
PRJ-1397,Vendor C,BU-1,Hardware,83,100,64637,80863,20.48,25.1,0.27,1.38,Medium,Delayed
PRJ-1398,Vendor B,BU-1,Components,85,94,38305,38014,10.59,-0.76,0.31,0.47,Low,On-Time
PRJ-1399,Vendor A,BU-3,Software,69,65,65320,74455,-5.8,13.98,1.28,0.58,Medium,On-Time
PRJ-1400,Vendor B,BU-2,Software,106,140,50006,45020,32.08,-9.97,0.95,1.13,Medium,Delayed
PRJ-1401,Vendor B,BU-4,Software,74,82,36118,38478,10.81,6.53,0.3,0.05,Low,On-Time
PRJ-1402,Vendor B,BU-1,Hardware,82,70,48018,50342,-14.63,4.84,1.8,0.07,Medium,On-Time
PRJ-1403,Vendor B,BU-2,Components,129,142,71962,79105,10.08,9.93,0.34,0.29,Low,On-Time
PRJ-1404,Vendor A,BU-1,Hardware,108,111,55421,56004,2.78,1.05,0.77,0.34,Low,On-Time
PRJ-1405,Vendor B,BU-2,Hardware,70,82,37999,38821,17.14,2.16,0.07,0.26,Low,On-Time
PRJ-1406,Vendor B,BU-4,Services,85,105,57442,59386,23.53,3.38,0.45,0.18,Low,Delayed
PRJ-1407,Vendor A,BU-3,Components,108,106,21851,24512,-1.85,12.18,1.04,0.45,Medium,On-Time
PRJ-1408,Vendor A,BU-2,Components,87,94,76425,73482,8.05,-3.85,0.46,0.69,Low,On-Time
PRJ-1409,Vendor C,BU-3,Components,99,112,46977,55400,13.13,17.93,0.16,0.87,Low,On-Time
PRJ-1410,Vendor D,BU-4,Software,110,129,61266,67449,17.27,10.09,0.08,0.3,Low,On-Time
PRJ-1411,Vendor B,BU-1,Hardware,111,124,43354,42257,11.71,-2.53,0.25,0.6,Low,On-Time
PRJ-1412,Vendor D,BU-3,Services,98,125,61761,66402,27.55,7.51,0.69,0.12,Low,Delayed
PRJ-1413,Vendor C,BU-3,Components,117,146,37285,40735,24.79,9.25,0.52,0.24,Low,Delayed
PRJ-1414,Vendor B,BU-1,Components,102,105,29414,30451,2.94,3.53,0.76,0.17,Low,On-Time
PRJ-1415,Vendor A,BU-3,Components,97,113,40132,43601,16.49,8.64,0.04,0.2,Low,On-Time
PRJ-1416,Vendor C,BU-2,Services,68,111,37738,41483,63.24,9.92,2.79,0.29,High,Delayed
PRJ-1417,Vendor C,BU-1,Software,102,112,58284,71903,9.8,23.37,0.36,1.26,Medium,On-Time
PRJ-1418,Vendor C,BU-1,Components,75,110,43098,50523,46.67,17.23,1.81,0.82,Medium,Delayed
PRJ-1419,Vendor A,BU-1,Services,95,78,51430,49084,-17.89,-4.56,1.99,0.74,Medium,On-Time
PRJ-1420,Vendor B,BU-4,Services,100,106,42962,47474,6.0,10.5,0.58,0.33,Low,On-Time
PRJ-1421,Vendor C,BU-1,Components,101,133,34749,39783,31.68,14.49,0.93,0.62,Low,Delayed
PRJ-1422,Vendor A,BU-2,Hardware,62,80,31980,34799,29.03,8.81,0.77,0.21,Low,Delayed
PRJ-1423,Vendor A,BU-4,Software,95,114,80184,83698,20.0,4.38,0.24,0.1,Low,On-Time
PRJ-1424,Vendor D,BU-3,Software,116,121,29689,28407,4.31,-4.32,0.68,0.73,Low,On-Time
PRJ-1425,Vendor C,BU-4,Services,95,99,59382,74496,4.21,25.45,0.69,1.4,Medium,On-Time
PRJ-1426,Vendor C,BU-1,Software,107,147,58374,68079,37.38,16.63,1.27,0.77,Medium,Delayed
PRJ-1427,Vendor A,BU-3,Hardware,105,125,38862,35658,19.05,-8.24,0.19,1.01,Medium,On-Time
PRJ-1428,Vendor C,BU-3,Components,84,128,64288,78228,52.38,21.68,2.15,1.13,High,Delayed
PRJ-1429,Vendor A,BU-1,Hardware,113,125,56222,57414,10.62,2.12,0.31,0.27,Low,On-Time
PRJ-1430,Vendor D,BU-3,Software,73,76,25179,29131,4.11,15.7,0.69,0.71,Low,On-Time
PRJ-1431,Vendor D,BU-3,Software,83,89,48890,49076,7.23,0.38,0.51,0.39,Low,On-Time
PRJ-1432,Vendor A,BU-3,Services,94,107,56431,53596,13.83,-5.02,0.12,0.78,Low,On-Time
PRJ-1433,Vendor D,BU-1,Hardware,103,103,53797,60588,0.0,12.62,0.94,0.49,Low,On-Time
PRJ-1434,Vendor D,BU-2,Hardware,87,102,55146,59445,17.24,7.8,0.08,0.14,Low,On-Time
PRJ-1435,Vendor D,BU-1,Components,87,75,42632,43339,-13.79,1.66,1.75,0.3,Medium,On-Time
PRJ-1436,Vendor A,BU-1,Services,64,59,40809,45252,-7.81,10.89,1.4,0.36,Medium,On-Time
PRJ-1437,Vendor A,BU-1,Components,78,64,43158,43201,-17.95,0.1,1.99,0.41,Medium,On-Time
PRJ-1438,Vendor A,BU-4,Components,103,105,21228,20052,1.94,-5.54,0.82,0.81,Low,On-Time
PRJ-1439,Vendor C,BU-4,Components,92,153,55247,60171,66.3,8.91,2.97,0.22,High,Delayed
PRJ-1440,Vendor A,BU-2,Components,61,66,32212,19957,8.2,-38.04,0.45,3.14,High,On-Time
PRJ-1441,Vendor C,BU-3,Hardware,97,128,55906,56330,31.96,0.76,0.95,0.36,Low,Delayed
PRJ-1442,Vendor D,BU-4,Services,72,75,75540,78943,4.17,4.5,0.69,0.1,Low,On-Time
PRJ-1443,Vendor B,BU-2,Hardware,104,121,24441,20551,16.35,-15.92,0.03,1.56,Medium,On-Time
PRJ-1444,Vendor B,BU-4,Components,93,87,44732,59497,-6.45,33.01,1.32,1.95,Medium,On-Time
PRJ-1445,Vendor C,BU-1,Software,112,125,53251,57349,11.61,7.7,0.25,0.13,Low,On-Time
PRJ-1446,Vendor A,BU-2,Components,96,107,55705,53636,11.46,-3.71,0.26,0.68,Low,On-Time
PRJ-1447,Vendor D,BU-3,Components,108,112,39231,40039,3.7,2.06,0.72,0.27,Low,On-Time
PRJ-1448,Vendor C,BU-4,Hardware,97,115,39764,43537,18.56,9.49,0.16,0.26,Low,On-Time
PRJ-1449,Vendor D,BU-1,Components,98,120,40440,44753,22.45,10.67,0.39,0.35,Low,Delayed
PRJ-1450,Vendor B,BU-2,Components,102,122,40157,37697,19.61,-6.13,0.22,0.86,Low,On-Time
PRJ-1451,Vendor D,BU-2,Software,80,104,8787,6727,30.0,-23.44,0.83,2.1,High,Delayed
PRJ-1452,Vendor C,BU-4,Hardware,107,136,41009,42840,27.1,4.46,0.66,0.1,Low,Delayed
PRJ-1453,Vendor B,BU-3,Services,97,151,18738,27923,55.67,49.02,2.34,3.09,Critical,Delayed
PRJ-1454,Vendor D,BU-1,Components,66,67,53737,51956,1.52,-3.31,0.85,0.65,Low,On-Time
PRJ-1455,Vendor A,BU-1,Components,83,99,41969,42921,19.28,2.27,0.2,0.26,Low,On-Time
PRJ-1456,Vendor C,BU-1,Hardware,101,127,40400,46840,25.74,15.94,0.58,0.72,Low,Delayed
PRJ-1457,Vendor A,BU-4,Software,79,93,47079,45816,17.72,-2.68,0.11,0.61,Low,On-Time
PRJ-1458,Vendor D,BU-3,Services,100,92,32416,39771,-8.0,22.69,1.41,1.21,Medium,On-Time
PRJ-1459,Vendor D,BU-4,Services,76,97,63140,73660,27.63,16.66,0.69,0.78,Low,Delayed
PRJ-1460,Vendor D,BU-2,Components,88,99,37697,33324,12.5,-11.6,0.2,1.25,Medium,On-Time
PRJ-1461,Vendor D,BU-4,Components,99,109,54860,51864,10.1,-5.46,0.34,0.81,Low,On-Time
PRJ-1462,Vendor A,BU-4,Software,65,69,81134,77649,6.15,-4.3,0.57,0.73,Low,On-Time
PRJ-1463,Vendor C,BU-4,Software,75,119,63982,74315,58.67,16.15,2.52,0.74,High,Delayed
PRJ-1464,Vendor D,BU-4,Components,73,93,42465,42124,27.4,-0.8,0.68,0.48,Low,Delayed
PRJ-1465,Vendor B,BU-2,Hardware,95,107,22690,24720,12.63,8.95,0.19,0.22,Low,On-Time
PRJ-1466,Vendor B,BU-2,Software,71,82,51842,48353,15.49,-6.73,0.02,0.9,Low,On-Time
PRJ-1467,Vendor D,BU-2,Hardware,98,124,53960,63019,26.53,16.79,0.63,0.78,Low,Delayed
PRJ-1468,Vendor C,BU-4,Components,97,133,52658,57576,37.11,9.34,1.25,0.25,Medium,Delayed
PRJ-1469,Vendor B,BU-1,Services,112,124,51080,51551,10.71,0.92,0.3,0.35,Low,On-Time
PRJ-1470,Vendor B,BU-1,Components,63,73,49010,52733,15.87,7.6,0.0,0.13,Low,On-Time
PRJ-1471,Vendor B,BU-1,Components,83,109,58348,53421,31.33,-8.44,0.91,1.02,Medium,Delayed
PRJ-1472,Vendor A,BU-3,Components,96,105,17535,15541,9.38,-11.37,0.38,1.23,Medium,On-Time
PRJ-1473,Vendor B,BU-4,Components,67,39,43232,47287,-41.79,9.38,3.4,0.25,High,On-Time
PRJ-1474,Vendor B,BU-4,Hardware,78,59,56161,56911,-24.36,1.34,2.37,0.32,High,On-Time
PRJ-1475,Vendor A,BU-4,Hardware,82,88,12675,9130,7.32,-27.97,0.5,2.42,High,On-Time
PRJ-1476,Vendor A,BU-3,Services,115,125,47977,43484,8.7,-9.36,0.42,1.09,Medium,On-Time
PRJ-1477,Vendor A,BU-3,Services,81,86,60719,49254,6.17,-18.88,0.57,1.77,Medium,On-Time
PRJ-1478,Vendor B,BU-4,Hardware,66,89,43021,42867,34.85,-0.36,1.12,0.44,Medium,Delayed
PRJ-1479,Vendor B,BU-2,Hardware,81,100,31967,30947,23.46,-3.19,0.45,0.65,Low,Delayed
PRJ-1480,Vendor A,BU-4,Components,72,73,52296,56340,1.39,7.73,0.85,0.14,Low,On-Time
PRJ-1481,Vendor A,BU-3,Hardware,93,105,30960,38853,12.9,25.49,0.18,1.41,Medium,On-Time
PRJ-1482,Vendor C,BU-3,Hardware,114,139,45521,55084,21.93,21.01,0.36,1.09,Medium,Delayed
